epoch,loss,output1_acc,output1_loss,output2_acc,output2_loss,val_loss,val_output1_acc,val_output1_loss,val_output2_acc,val_output2_loss
0,2.842947153,0.549842072,0.751880221,0.14125079,2.467007043,2.665978608,0.563829788,0.683638317,0.117021277,2.324159426
1,2.602391553,0.596083386,0.670225203,0.177068857,2.267278942,2.696542364,0.526595747,0.689365003,0.15248227,2.351859847
2,2.513161622,0.639797852,0.639518908,0.203411244,2.193402175,2.5343217,0.609929079,0.643208348,0.182624114,2.212717562
3,2.462980307,0.644977889,0.627952527,0.22488945,2.149004042,2.727870747,0.634751771,0.651773315,0.15248227,2.401984115
4,2.413438758,0.661781427,0.611514202,0.243335439,2.107681656,2.802204967,0.515957445,0.659724601,0.140070922,2.472342653
5,2.375251033,0.674984207,0.599743588,0.255969678,2.075379247,2.766483867,0.590425534,0.786187133,0.214539007,2.373390235
6,2.33848523,0.683133291,0.589073848,0.26506633,2.043948316,2.698618835,0.572695034,0.762405103,0.182624114,2.317416306
7,2.298993517,0.696146557,0.573816243,0.277447884,2.012085399,2.463049975,0.680851064,0.576598038,0.221631206,2.174750959
8,2.261253979,0.70846494,0.562521549,0.296715098,1.979993214,2.486354395,0.618794329,0.619529185,0.182624114,2.176589825
9,2.206958543,0.720025268,0.543181843,0.311939355,1.935367624,2.562120262,0.661347518,0.567944369,0.207446809,2.2781481
10,2.170736784,0.7344283,0.529413859,0.322488945,1.90602985,2.333404908,0.675531917,0.582892117,0.260638298,2.041958851
11,2.126633557,0.747378395,0.512887962,0.33385976,1.870189576,2.469245182,0.640070919,0.612956034,0.235815603,2.16276715
12,2.082740085,0.755906506,0.497680425,0.343145925,1.833899874,2.21855243,0.696808512,0.529373123,0.294326242,1.953865885
13,2.058307753,0.761276058,0.491445325,0.354706254,1.812585096,4.688610943,0.530141843,1.788391869,0.170212766,3.794415038
14,2.005716832,0.775615919,0.47348126,0.373657612,1.768976211,2.357715514,0.700354611,0.573074529,0.234042554,2.071178218
15,1.96429023,0.780101075,0.46068571,0.383701832,1.733947374,2.234486401,0.719858159,0.514259282,0.283687944,1.977356774
16,1.931644034,0.789008213,0.44820257,0.39576753,1.707542743,3.189822985,0.592198581,1.159315753,0.24822695,2.610165128
17,1.885157126,0.80157928,0.43211857,0.408212255,1.66909785,2.917607067,0.650709222,0.953125741,0.283687943,2.44104417
18,1.843083057,0.806253949,0.42525354,0.426405559,1.630456285,3.565414285,0.556737588,1.240690329,0.218085108,2.945069088
19,1.795072651,0.8153506,0.402666067,0.433480733,1.593739616,2.163685829,0.746453899,0.518008908,0.322695036,1.904681481
20,1.746166754,0.823247,0.388735694,0.447567909,1.551798909,3.576522612,0.553191489,1.434767225,0.269503545,2.859138994
21,1.689226925,0.831522426,0.371230176,0.464750474,1.503611833,2.232210797,0.75177305,0.495198567,0.285460994,1.984611454
22,1.645910108,0.838408086,0.356741541,0.476563487,1.467539338,2.42647121,0.734042552,0.633681907,0.312056739,2.109630241
23,1.572445239,0.853758687,0.335579892,0.496588756,1.404655297,2.141080106,0.762411346,0.54391583,0.35283688,1.86912223
24,1.539868972,0.854579912,0.330482588,0.513076437,1.374627677,2.288483075,0.725177307,0.597676434,0.335106384,1.989644833
25,1.477946994,0.865003159,0.309879879,0.524952622,1.323007059,2.406886786,0.764184397,0.556677836,0.342198581,2.128547838
26,1.40900686,0.877005686,0.291269756,0.553506001,1.263371984,2.505939369,0.737588655,0.658725766,0.317375888,2.17657654
27,1.360551944,0.883006949,0.281920741,0.571825647,1.219591576,2.488649103,0.675531914,0.690124997,0.320921986,2.143586611
28,1.301661129,0.89096652,0.260874399,0.583512318,1.171223932,2.377521106,0.757092197,0.584483139,0.342198582,2.085279571
29,1.257582791,0.894440935,0.251887073,0.602463676,1.131639253,2.610127889,0.75177305,0.659600251,0.335106382,2.280327716
